HLLLLLLLLHLLHLHLLHHLHLLHHHLLLLLHHHLLLHHLHHHHLHHHLHLLLHLLLLHLHHHH
W_LIST: -5.75601 -4.15869 -6.26208 -8.70788 -2.63092 5.07952 0.130194 3.13934 -5.81577 -8.91074 -2.33005 3.52488 3.62342 -5.5916 7.30877 9.81207 6.26081 9.85716 -7.07644 0.402801 7.75311 -5.74737 4.18632 -3.4644 -5.58546 7.46874 5.21433 8.72588 0.256115 5.72912 3.73272 8.77672 -0.472253 0.258368 0.501038 5.33939 -0.865846 -0.719309 -0.600049 -1.32165 -8.74788 6.84304 -5.15634 8.5966 -1.94096 -1.9468 5.07833 8.40274 -2.31058 7.06162 7.44611 -2.64799 3.3684 -8.52108 -5.16089 4.16934 -3.87204 -5.09056 -8.66303 -4.93674 5.59388 -2.10564 -0.583452 1.06521 
st	op	ed	phy
SITE: 40	41	43	0
SITE: 40	43	44	0
SITE: 39	40	44	1
SITE: 17	18	20	1
SITE: 17	20	21	0
SITE: 17	21	22	0
SITE: 17	22	23	1
SITE: 19	24	25	1
SITE: 17	23	25	1
SITE: 50	52	53	1
SITE: 51	53	55	1
SITE: 50	54	55	0
SITE: 50	55	56	1
SITE: 16	17	25	0
SITE: 15	16	25	1
SITE: 13	15	19	1
SITE: 13	14	25	0
SITE: 12	13	25	0
SITE: 45	47	48	0
SITE: 45	46	49	0
SITE: 19	25	27	0
SITE: 12	26	27	1
SITE: 12	27	28	1
SITE: 12	19	29	1
SITE: 10	12	28	0
SITE: 10	11	29	1
SITE: 9	10	29	0
SITE: 7	9	28	1
SITE: 7	8	29	0
SITE: 5	7	28	1
SITE: 5	6	29	0
SITE: 4	5	29	1
SITE: 3	4	29	0
SITE: 2	3	29	0
SITE: 42	45	48	1
SITE: 39	42	48	1
SITE: 39	44	49	0
SITE: 48	50	51	1
SITE: 39	49	51	0
SITE: 39	51	56	0
SITE: 28	29	31	1
SITE: 2	30	31	1
SITE: 2	31	32	0
SITE: 48	57	58	0
SITE: 39	56	58	0
SITE: 48	58	60	1
SITE: 39	59	60	0
SITE: 39	60	61	0
SITE: 1	2	32	0
SITE: 0	0	32	1
SITE: 38	39	61	0
SITE: 38	61	62	1
SITE: 38	62	63	1
SITE: 37	48	63	0
SITE: 1	1	33	0
SITE: 36	37	63	1
SITE: 35	36	63	0
SITE: 34	35	63	1
SITE: 28	33	34	0
SITE: 32	38	63	1
SITE: 28	28	63	0
SITE: 32	63	63	0
SITE: 32	34	34	1
WARN: Unitary gate is identity
SITE: 32	32	32	1
MPS Info: 2.52095 0.245337 0.0157895 
Writing MPS done!
