HHHHLLLLHLLLHHLHLHHLLHLLHLHLLLLLHHLLLHHLHLLHHLHHLLHHLLHLLLHHLLHH
W_LIST: -7.08793 8.74632 -9.99152 1.83911 7.80706 -8.66583 2.24809 8.39267 -8.93908 -6.94589 6.54902 8.87909 -6.58712 -4.51853 8.65397 8.96234 -3.3875 5.83622 -2.22706 -0.245887 -2.04426 -0.458765 8.04677 -8.04432 1.95369 -8.87393 0.791075 9.64187 -1.53442 -7.63649 2.25257 4.61562 1.3347 -9.23536 -3.37064 9.3122 1.89798 6.42117 -5.24858 3.90806 -2.30295 0.672379 -4.91324 -8.41019 8.30049 -3.81305 5.63359 -5.13486 7.35415 4.78851 2.7781 5.34751 2.80834 6.71692 6.34216 -0.376969 5.72787 3.00557 8.81471 -5.3919 2.17266 -8.73176 -8.84491 -2.76756 
st	op	ed	phy
SITE: 0	2	3	1
SITE: 1	4	5	1
SITE: 0	1	5	0
SITE: 0	5	6	0
SITE: 3	7	8	1
SITE: 0	0	8	1
SITE: 6	8	10	1
SITE: 3	9	10	0
SITE: 6	11	12	1
SITE: 3	10	12	1
SITE: 6	12	14	1
SITE: 3	13	14	1
SITE: 43	44	46	0
SITE: 43	46	47	0
SITE: 43	47	48	1
SITE: 58	59	61	1
SITE: 57	58	61	0
SITE: 41	43	45	1
SITE: 41	42	48	0
SITE: 39	40	45	1
SITE: 39	45	48	0
SITE: 37	38	41	1
SITE: 37	39	48	1
SITE: 35	37	41	0
SITE: 35	36	48	1
SITE: 34	35	48	1
SITE: 32	33	41	1
SITE: 32	34	48	0
SITE: 55	56	60	1
SITE: 55	57	61	1
SITE: 54	60	61	1
SITE: 31	32	48	0
SITE: 29	31	41	1
SITE: 29	30	48	1
SITE: 27	29	41	0
SITE: 27	28	48	0
SITE: 26	27	48	1
SITE: 24	25	41	0
SITE: 24	26	48	0
SITE: 22	23	41	0
SITE: 22	24	48	0
SITE: 21	22	48	1
SITE: 6	15	16	0
SITE: 3	14	16	1
SITE: 3	16	17	0
SITE: 3	17	18	0
SITE: 21	48	49	1
SITE: 41	49	51	1
SITE: 21	50	51	0
SITE: 21	51	52	0
SITE: 21	52	53	1
SITE: 41	54	55	0
SITE: 21	53	55	1
SITE: 21	41	61	1
SITE: 3	6	19	1
SITE: 55	61	63	0
SITE: 21	62	63	1
SITE: 19	20	55	0
SITE: 19	21	63	1
SITE: 3	18	55	1
SITE: 3	63	63	1
WARN: Unitary gate is identity
SITE: 3	3	3	0
WARN: Unitary gate is identity
SITE: 55	55	55	1
WARN: Unitary gate is identity
SITE: 19	19	19	0
MPS Info: -12.396 0.116278 0.0855873 
Writing MPS done!
