LHLLHLLLHHHHLLLHLHHLLHHLLHLLLLHLHLLHLLLHLHLHHHLHHLLLLLLHHLHLHHLL
W_LIST: -0.664623 -3.22626 2.82752 -3.95589 -1.16328 3.33912 2.31757 -3.27903 2.35968 0.593738 -1.36228 1.8339 -0.748545 -0.548342 0.773291 -2.21209 1.72432 3.48324 -1.06755 3.94052 -0.579955 0.688454 1.88164 1.0085 -3.1726 -1.39164 2.59315 3.33152 -2.71466 -1.67024 -1.90235 3.36389 3.18737 0.633209 -0.557696 3.58632 -1.86458 3.47996 -0.0870417 -1.90058 -0.825797 -3.77129 -3.81339 -2.51871 -0.129831 -1.58162 1.83828 -1.93807 -0.118391 -2.35171 3.6341 -3.41295 -2.20046 -3.96731 -3.69955 -0.685125 3.4217 -2.09832 -1.03357 -1.09082 3.25484 -1.13402 2.23527 -2.93748 
st	op	ed	phy
SITE: 2	3	5	0
SITE: 0	2	4	1
SITE: 0	1	5	1
SITE: 60	62	63	1
SITE: 59	60	63	0
SITE: 54	56	57	0
SITE: 35	37	38	1
SITE: 34	35	38	0
SITE: 4	5	7	1
SITE: 0	6	7	1
SITE: 0	7	8	0
SITE: 0	8	9	0
SITE: 4	10	11	1
SITE: 0	4	11	1
SITE: 15	17	18	0
SITE: 15	16	19	1
SITE: 14	15	19	1
SITE: 23	24	26	0
SITE: 0	11	12	0
SITE: 48	50	51	1
SITE: 46	47	49	1
SITE: 46	49	51	0
SITE: 45	46	51	1
SITE: 44	45	51	1
SITE: 44	51	52	0
SITE: 44	52	53	0
SITE: 32	33	36	1
SITE: 32	36	38	0
SITE: 32	34	39	0
SITE: 43	44	53	1
SITE: 18	19	21	1
SITE: 14	20	21	0
SITE: 25	27	28	1
SITE: 25	28	29	0
SITE: 23	26	29	1
SITE: 25	30	31	1
SITE: 23	25	31	1
SITE: 13	18	21	1
SITE: 42	43	53	1
SITE: 40	42	48	0
SITE: 40	41	53	1
SITE: 39	40	53	0
SITE: 32	39	48	1
SITE: 32	38	53	0
SITE: 29	32	48	0
SITE: 29	31	53	1
SITE: 23	29	53	0
SITE: 48	54	55	0
SITE: 23	53	55	0
SITE: 23	55	57	0
SITE: 13	21	22	0
SITE: 14	22	48	0
SITE: 14	23	57	1
SITE: 13	14	57	1
SITE: 9	13	48	0
SITE: 0	0	48	0
SITE: 9	9	57	0
SITE: 12	57	58	0
SITE: 48	59	61	0
SITE: 12	58	61	0
SITE: 12	63	63	0
SITE: 12	61	61	1
SITE: 12	12	48	1
WARN: Unitary gate is identity
SITE: 48	48	48	0
MPS Info: -16.7816 0.582865 0.693147 
Writing MPS done!
