LHHLLHHHHLHHHHLHHHLLLHLHHHLHLLLLLHHHHHLHLLLLLLLHHLLLHHHHHHLHHHHH
W_LIST: 0.178999 6.43708 -7.66951 6.93317 2.84822 -6.45538 0.427659 -2.98099 3.2776 7.9551 1.37374 0.92363 -8.05049 -5.48313 -7.18709 5.58775 2.48702 -5.03976 7.19446 4.23497 -2.10731 -1.39384 -0.253705 6.00561 6.20665 7.58579 -1.84934 0.26857 0.982528 -8.43024 5.18111 2.44671 7.21605 -4.1801 -3.92296 -0.463135 -4.34007 4.75362 -6.98766 7.41403 -2.17996 5.15041 -2.34281 0.47979 2.35172 -3.3683 5.53729 -4.75173 1.06129 0.110165 8.66207 -6.94129 -2.73322 -4.46893 3.72391 -8.73814 -5.1168 6.41812 4.06263 2.9481 -0.728601 -1.5121 -5.4553 8.56846 
st	op	ed	phy
SITE: 36	38	39	0
SITE: 36	39	40	0
SITE: 54	55	57	1
SITE: 53	56	57	1
SITE: 2	3	5	1
SITE: 1	2	5	1
SITE: 36	37	41	0
SITE: 1	5	6	1
SITE: 0	1	6	0
SITE: 4	7	8	1
SITE: 0	4	8	1
SITE: 6	9	10	1
SITE: 0	8	10	0
SITE: 36	41	42	1
SITE: 14	15	17	0
SITE: 14	17	18	1
SITE: 16	18	20	1
SITE: 14	19	20	1
SITE: 44	46	47	1
SITE: 44	47	48	1
SITE: 29	30	32	1
SITE: 29	32	33	1
SITE: 28	29	33	0
SITE: 49	50	52	1
SITE: 45	48	51	0
SITE: 44	45	51	0
SITE: 44	51	52	0
SITE: 49	53	54	1
SITE: 44	52	54	1
SITE: 44	54	57	0
SITE: 35	36	42	1
SITE: 34	40	42	0
SITE: 34	42	43	0
SITE: 35	44	49	1
SITE: 35	43	57	1
SITE: 34	35	57	1
SITE: 31	33	49	1
SITE: 31	34	57	1
SITE: 28	31	57	1
SITE: 12	14	16	0
SITE: 12	13	20	1
SITE: 11	12	20	1
SITE: 6	10	16	0
SITE: 0	0	16	1
SITE: 6	16	20	0
SITE: 28	57	58	0
SITE: 49	58	60	1
SITE: 28	59	60	0
SITE: 49	61	62	1
SITE: 28	60	62	1
SITE: 28	62	63	1
SITE: 26	28	49	1
SITE: 26	27	63	1
SITE: 25	26	63	0
SITE: 24	25	63	0
SITE: 22	24	49	0
SITE: 22	23	63	0
SITE: 21	22	63	1
SITE: 11	20	49	0
SITE: 11	21	63	1
SITE: 6	63	63	0
SITE: 6	11	49	0
WARN: Unitary gate is identity
SITE: 6	6	6	1
WARN: Unitary gate is identity
SITE: 49	49	49	0
MPS Info: 22.1263 0.170274 1.46797e-07 
Writing MPS done!
