HHHHHLHHLHLHLHHLLHHLHHLLHHHLLHLHHLHHLHHLHHLHLHHHHHLHHLLHLHHLLHLH
W_LIST: -2.46495 -7.03767 4.01944 8.7975 4.04065 5.33664 4.71097 7.19444 -2.60485 -7.2313 -0.715476 -8.26533 -9.36607 -3.94623 -5.29526 4.50914 3.46674 6.35838 -2.30739 3.40815 -1.9362 9.02849 7.43901 -2.48694 1.97456 -4.25669 9.09868 2.1304 -2.48937 3.90186 2.79649 -5.60364 -8.36826 -3.63202 7.89779 7.43104 0.70536 -0.437248 2.93887 -1.30277 -9.53232 -6.61864 -2.11691 6.51953 3.09593 -7.47505 7.26307 7.64508 0.50867 -4.42382 0.288493 8.27843 -4.15702 5.51052 7.14379 1.19833 -6.48552 3.3235 -0.530499 2.36534 -7.65198 5.06764 -2.58435 1.85496 
st	op	ed	phy
SITE: 50	51	53	0
SITE: 42	43	45	0
SITE: 42	45	46	1
SITE: 59	60	62	0
SITE: 49	52	53	1
SITE: 41	44	46	1
SITE: 39	40	42	1
SITE: 39	41	46	1
SITE: 50	54	55	1
SITE: 49	53	55	1
SITE: 50	56	57	0
SITE: 49	55	57	0
SITE: 7	9	10	1
SITE: 7	8	11	0
SITE: 38	42	46	0
SITE: 22	23	25	0
SITE: 22	25	26	1
SITE: 22	26	27	0
SITE: 24	27	29	1
SITE: 22	28	29	0
SITE: 24	29	31	0
SITE: 22	30	31	1
SITE: 49	57	58	0
SITE: 50	59	61	1
SITE: 50	61	62	0
SITE: 49	50	62	1
SITE: 47	49	58	1
SITE: 47	58	62	1
SITE: 24	32	33	1
SITE: 22	31	33	1
SITE: 22	33	34	0
SITE: 47	62	63	0
SITE: 20	21	24	0
SITE: 20	22	34	1
SITE: 19	24	34	0
SITE: 18	19	34	1
SITE: 17	18	34	1
SITE: 39	47	48	0
SITE: 39	46	63	0
SITE: 38	39	63	0
SITE: 37	38	63	0
SITE: 6	7	11	0
SITE: 20	34	36	0
SITE: 17	35	36	0
SITE: 20	36	48	1
WARN: Unitary gate is identity
SITE: 37	37	37	1
SITE: 17	20	63	1
SITE: 0	1	3	1
SITE: 0	3	4	0
SITE: 12	14	15	1
SITE: 10	12	13	0
SITE: 6	11	13	1
SITE: 6	13	15	1
SITE: 16	17	63	0
SITE: 10	15	48	1
SITE: 10	16	63	1
SITE: 6	10	63	0
SITE: 0	4	5	0
SITE: 2	5	48	1
SITE: 2	6	63	0
SITE: 0	2	63	0
SITE: 0	0	63	1
WARN: Unitary gate is identity
SITE: 63	63	63	0
WARN: Unitary gate is identity
SITE: 48	48	48	0
MPS Info: 60.4499 0.148323 0.00328396 
Writing MPS done!
