HHLLHLLLHHLLHHLLLLHLLHLHLHLLLHLHLLHHLHHLHLHHLHLHHHLHHHLLLLHHHLHL
W_LIST: -8.24367 -2.30768 6.50574 -4.90049 3.74867 7.83355 -3.36763 3.69223 -0.522642 -1.87453 -6.63486 8.1652 4.10762 -4.66161 7.14128 5.07563 9.89894 -4.29432 7.79302 3.8406 -2.07128 -7.83058 -1.80129 0.566339 -3.05153 -0.0282392 -1.28582 1.51974 -1.29568 -0.521072 -2.88341 -2.82957 3.76044 9.3638 3.81225 4.7825 -7.80386 8.13577 -7.29544 -4.78924 -0.495604 -2.50487 4.38768 -2.14262 9.60163 7.10245 0.226227 -3.32985 -5.93448 -2.90841 3.4005 9.61477 9.54968 2.01852 6.14175 4.22921 -6.21879 -2.07392 1.15101 2.66878 -5.37118 2.81839 9.58995 -8.92319 
st	op	ed	phy
SITE: 60	62	63	0
SITE: 10	11	13	1
SITE: 10	13	14	1
SITE: 59	60	63	1
SITE: 3	5	6	1
SITE: 1	2	4	1
SITE: 1	3	6	0
SITE: 1	6	7	0
SITE: 0	0	7	1
SITE: 9	10	14	0
SITE: 17	18	20	0
SITE: 16	19	20	1
SITE: 16	17	21	0
SITE: 15	16	21	1
SITE: 12	14	20	1
SITE: 12	15	21	1
SITE: 9	12	21	0
SITE: 9	21	22	1
SITE: 43	44	46	1
SITE: 42	45	46	0
SITE: 1	7	8	1
SITE: 4	9	20	1
SITE: 1	4	20	0
SITE: 1	1	22	1
SITE: 42	43	47	1
SITE: 41	42	47	0
SITE: 37	38	40	1
SITE: 36	37	40	0
SITE: 35	36	40	0
SITE: 39	41	46	0
SITE: 35	39	46	0
SITE: 35	46	47	1
SITE: 33	35	40	0
SITE: 33	34	47	0
SITE: 31	33	40	1
SITE: 31	32	47	1
SITE: 55	56	58	0
SITE: 53	54	57	1
SITE: 53	55	58	1
SITE: 52	57	58	0
SITE: 53	59	61	0
SITE: 53	61	63	1
SITE: 52	58	63	0
SITE: 48	50	51	1
SITE: 8	20	23	0
SITE: 8	22	24	0
SITE: 8	24	25	0
SITE: 31	47	48	1
SITE: 40	48	51	1
SITE: 31	49	51	1
SITE: 23	26	27	0
SITE: 8	23	27	0
SITE: 8	27	28	1
SITE: 25	28	30	0
SITE: 8	8	30	1
SITE: 40	52	53	0
SITE: 31	51	53	0
SITE: 31	53	63	0
SITE: 29	31	40	1
SITE: 29	30	63	0
SITE: 25	63	63	0
SITE: 25	29	40	0
WARN: Unitary gate is identity
SITE: 25	25	25	0
WARN: Unitary gate is identity
SITE: 40	40	40	0
MPS Info: -9.74385 0.0647305 0.00862449 
Writing MPS done!
