HLLHLHLHLLLHLHLHLLLHHHHHHHHLHLHLHLHLHLHLHHHLHLLLLLLLLLLHLLHHLHLH
W_LIST: 1.35463 -1.79369 -5.01894 -5.55688 7.22309 -3.67203 6.0909 1.38824 -4.77467 3.76764 -5.28974 1.74015 0.360267 -5.94929 -6.47296 -9.90469 9.47691 4.53081 -2.02624 0.61903 -2.31444 5.8231 9.56617 -1.93776 -8.0985 -0.417032 0.0220752 8.42054 0.85296 3.51766 -9.10723 -9.83625 5.5921 -3.24372 8.45827 4.01511 4.87954 3.5672 -5.71721 -3.06489 -4.22952 8.89992 8.09596 -5.73447 1.31189 5.34195 -8.44009 -7.08472 -5.53216 7.81932 9.00212 8.02018 -9.77825 -0.267079 4.33809 5.68478 6.26133 -7.78927 -7.82227 -4.78502 6.73428 6.76974 -4.4963 -4.32386 
st	op	ed	phy
SITE: 31	32	34	0
SITE: 3	4	6	1
SITE: 5	6	8	1
SITE: 3	5	8	1
SITE: 3	8	9	0
SITE: 3	9	10	1
SITE: 3	10	11	0
SITE: 20	22	23	0
SITE: 21	24	25	1
SITE: 20	21	25	0
SITE: 15	16	18	1
SITE: 43	45	46	1
SITE: 42	43	46	0
SITE: 27	29	30	1
SITE: 28	30	33	1
SITE: 27	31	33	0
SITE: 27	33	34	0
SITE: 27	34	35	0
SITE: 7	11	13	0
SITE: 3	7	13	0
SITE: 51	52	54	0
SITE: 14	15	18	1
SITE: 12	14	17	0
SITE: 3	13	17	1
SITE: 3	17	18	1
SITE: 26	27	35	1
SITE: 23	25	28	1
SITE: 23	26	35	1
SITE: 3	18	19	0
SITE: 12	20	23	1
SITE: 3	19	23	0
SITE: 12	23	35	1
SITE: 3	12	35	1
SITE: 1	3	28	1
SITE: 1	2	35	0
SITE: 0	1	35	0
SITE: 42	46	47	0
SITE: 44	47	49	0
SITE: 42	48	49	0
SITE: 38	40	41	1
SITE: 39	42	44	0
SITE: 39	41	49	0
SITE: 38	39	49	0
SITE: 37	38	49	1
SITE: 36	37	49	1
SITE: 28	36	44	0
SITE: 0	35	44	1
SITE: 0	0	49	0
SITE: 51	54	55	1
SITE: 53	56	57	1
SITE: 51	55	57	0
SITE: 59	61	62	0
SITE: 58	60	62	1
SITE: 53	57	59	0
SITE: 51	58	59	1
SITE: 51	59	62	1
SITE: 28	49	50	1
SITE: 44	50	53	1
SITE: 44	51	62	1
SITE: 28	44	62	0
SITE: 28	63	63	1
SITE: 28	62	62	0
WARN: Unitary gate is identity
SITE: 28	28	28	1
WARN: Unitary gate is identity
SITE: 53	53	53	0
MPS Info: -19.2341 0.197716 0.00326718 
Writing MPS done!
