HLHHLLHHHLHLHHLHHHLLLLHLHLHHHLLLHHHHHLHHLHHLLHHLLHHHLHHHLHLLLLHL
W_LIST: 5.27291 -1.74165 8.08524 -9.45212 1.4422 9.35151 -0.511772 0.00507964 -4.59946 -8.94377 -4.30245 8.86813 -6.03979 -0.512399 -8.99061 -2.21 4.59215 9.49135 -2.78937 5.33235 -1.28778 5.95202 3.79246 -9.14267 2.09981 3.44676 -1.05572 -2.93841 -8.21908 -6.86808 6.06 -6.91916 -6.586 9.98804 -4.49158 -3.85594 -6.45038 -1.58773 -7.93643 7.43231 7.09145 9.63525 -5.33899 -3.90219 -8.13141 -9.44705 -2.96009 4.32473 -0.564193 0.302227 5.35085 5.86401 -5.94919 -1.72788 -8.04644 -9.34986 0.234184 5.23111 3.39826 8.90883 -6.59987 7.86404 -5.021 9.59009 
st	op	ed	phy
SITE: 60	61	63	1
SITE: 59	60	63	0
SITE: 1	3	4	1
SITE: 2	5	6	1
SITE: 1	2	6	0
SITE: 11	12	14	1
SITE: 10	11	14	1
SITE: 0	0	6	0
SITE: 10	14	15	0
SITE: 10	15	16	1
SITE: 13	17	18	0
SITE: 10	16	18	0
SITE: 10	18	19	0
SITE: 10	19	20	1
SITE: 10	20	21	0
SITE: 13	21	23	1
SITE: 10	22	23	0
SITE: 10	23	24	0
SITE: 58	59	63	1
SITE: 51	52	54	0
SITE: 56	57	62	0
SITE: 56	62	63	1
SITE: 55	58	63	1
SITE: 36	38	39	1
SITE: 9	10	24	1
SITE: 8	9	24	0
SITE: 7	8	24	1
SITE: 4	6	13	1
SITE: 4	7	24	1
SITE: 1	1	24	0
SITE: 45	47	48	1
SITE: 46	48	50	0
SITE: 45	46	50	1
SITE: 49	51	53	0
SITE: 49	50	54	0
SITE: 45	49	54	0
SITE: 43	45	53	1
SITE: 43	44	54	0
SITE: 41	42	53	1
SITE: 41	43	54	0
SITE: 53	55	56	1
SITE: 53	54	63	1
SITE: 41	53	63	1
SITE: 13	25	26	1
SITE: 4	24	26	0
SITE: 13	27	28	1
SITE: 4	26	28	1
SITE: 13	28	30	1
SITE: 13	29	31	0
SITE: 4	30	31	1
SITE: 13	31	33	0
SITE: 13	33	34	0
SITE: 4	32	34	1
SITE: 35	36	39	1
SITE: 13	35	37	1
SITE: 4	34	37	1
SITE: 4	37	39	0
SITE: 40	41	63	0
SITE: 13	40	56	1
SITE: 13	39	63	0
SITE: 4	63	63	1
SITE: 4	4	56	1
WARN: Unitary gate is identity
SITE: 13	13	13	1
WARN: Unitary gate is identity
SITE: 56	56	56	1
MPS Info: 16.256 0.0973976 0.324296 
Writing MPS done!
