HLLHHLLLLHLLLLHHHHHHHLHHLHLHLLHHHLLHLLHLLHLLLLHLLHLHHLLHHHLLHLLL
W_LIST: 2.15802 -2.82167 -1.96959 -4.2441 0.274245 -0.660878 7.17384 5.99621 3.72938 -7.51671 -7.97997 -5.40976 7.85497 -3.37392 0.755519 0.0559531 -9.67903 6.88054 -2.38772 7.06218 -1.82813 -1.48426 6.83125 3.07044 1.99544 0.360554 -2.59372 -5.38107 -3.44432 -4.5598 3.3404 4.17711 1.92879 1.97132 -0.833768 5.54988 -0.487264 -7.29566 -8.87368 -6.51359 3.23831 6.09034 0.679407 1.44924 -2.10862 8.86295 8.89254 0.42502 -6.33681 6.36386 -2.20111 -8.79064 8.87762 4.30412 7.94542 2.77363 1.3011 3.64143 -9.87571 -9.87741 2.52337 -1.13296 3.67621 6.47749 
st	op	ed	phy
SITE: 49	51	52	1
SITE: 48	49	52	0
SITE: 46	48	50	0
SITE: 46	50	52	0
SITE: 15	16	18	1
SITE: 15	17	19	0
SITE: 46	52	53	0
SITE: 47	54	55	1
SITE: 46	53	55	1
SITE: 39	41	42	0
SITE: 11	12	14	1
SITE: 13	14	18	0
SITE: 11	13	18	0
SITE: 11	18	19	1
SITE: 11	19	20	0
SITE: 59	60	62	0
SITE: 59	62	63	1
SITE: 10	11	20	0
SITE: 3	5	6	0
SITE: 2	3	6	1
SITE: 0	1	4	0
SITE: 0	0	6	0
SITE: 4	6	8	1
SITE: 2	7	8	1
SITE: 2	8	9	1
SITE: 4	9	15	1
SITE: 4	10	20	0
SITE: 2	2	20	0
SITE: 34	35	37	0
SITE: 33	34	37	0
SITE: 47	55	57	0
SITE: 46	56	57	0
SITE: 46	57	58	0
SITE: 47	58	61	0
SITE: 47	59	63	0
SITE: 46	61	63	0
SITE: 31	33	36	1
SITE: 31	32	37	0
SITE: 29	31	36	0
SITE: 29	30	37	0
SITE: 29	37	38	0
SITE: 36	38	40	1
SITE: 29	39	40	0
SITE: 29	40	42	1
SITE: 27	29	36	0
SITE: 27	28	42	0
SITE: 25	27	36	1
SITE: 25	26	42	0
SITE: 24	25	42	0
SITE: 44	46	47	0
SITE: 44	45	63	1
SITE: 43	44	63	0
SITE: 36	43	47	1
SITE: 36	47	63	1
SITE: 24	36	63	1
SITE: 15	21	22	0
SITE: 4	20	22	1
SITE: 4	22	23	0
SITE: 15	23	42	0
SITE: 4	24	42	1
WARN: Unitary gate is identity
SITE: 63	63	63	1
WARN: Unitary gate is identity
SITE: 4	4	4	0
WARN: Unitary gate is identity
SITE: 42	42	42	1
WARN: Unitary gate is identity
SITE: 15	15	15	1
MPS Info: -7.81376 0.389979 0.199884 
Writing MPS done!
