HLLLHHLHLLHLLLLHLLHLHHLHHLLHHHLHLHHLLHLHHHHLHLLLLHLHLLLHLHHLHLHH
W_LIST: -0.72641 -0.729467 0.978178 -0.0874301 0.230344 0.108943 0.99817 -0.165356 -0.047884 0.994761 0.861197 -0.505281 -0.749239 -0.330238 -0.848813 -0.80007 -0.632225 -0.805419 -0.739776 -0.498107 0.818538 -0.779835 0.175528 -0.123489 -0.550195 0.593771 -0.155527 -0.132 -0.356369 -0.811751 0.590839 0.78997 0.0715918 0.267174 0.557479 -0.218527 -0.563634 -0.815296 -0.785025 -0.216494 0.233464 -0.232103 0.602895 0.831545 -0.275919 0.34052 -0.840377 -0.0477487 -0.969249 -0.978768 -0.251231 0.907573 -0.449305 0.665332 -0.195438 -0.952945 0.727443 -0.381882 -0.604386 0.609225 0.629529 -0.690803 0.445878 -0.04447 
st	op	ed	phy
SITE: 54	55	57	1
SITE: 52	53	56	1
SITE: 52	54	57	0
SITE: 50	51	56	0
SITE: 50	52	57	0
SITE: 49	56	57	1
SITE: 50	57	59	1
SITE: 49	58	59	1
SITE: 49	50	60	1
SITE: 49	60	61	0
SITE: 48	49	61	1
SITE: 47	48	61	0
SITE: 46	47	61	1
SITE: 45	46	61	0
SITE: 44	45	61	1
SITE: 43	44	61	1
SITE: 43	61	62	0
SITE: 43	62	63	0
SITE: 42	59	63	1
SITE: 41	42	63	0
SITE: 40	43	63	1
SITE: 39	40	63	0
SITE: 38	39	63	0
SITE: 37	38	63	0
SITE: 36	37	63	1
SITE: 34	35	41	0
SITE: 34	36	63	0
SITE: 33	34	63	0
SITE: 32	33	63	0
SITE: 31	41	63	0
SITE: 30	31	63	0
SITE: 29	30	63	1
SITE: 28	29	63	1
SITE: 27	28	63	1
SITE: 25	26	32	0
SITE: 25	32	63	1
SITE: 24	25	63	1
SITE: 23	24	63	1
SITE: 22	23	63	1
SITE: 19	21	22	1
SITE: 20	27	63	1
SITE: 19	20	63	0
SITE: 18	22	63	0
SITE: 17	18	63	1
SITE: 16	17	63	0
SITE: 15	19	63	0
SITE: 14	15	63	1
SITE: 13	14	63	0
SITE: 12	16	63	0
SITE: 10	12	13	0
SITE: 10	13	63	1
SITE: 9	10	63	0
SITE: 8	9	63	1
SITE: 7	11	63	1
SITE: 6	7	63	1
SITE: 5	6	63	1
SITE: 4	5	63	1
SITE: 3	8	63	0
SITE: 2	3	63	0
SITE: 1	2	63	1
SITE: 0	1	63	0
SITE: 0	4	63	0
SITE: 0	63	63	0
SITE: 0	0	0	0
MPS Info: 0.433631 2.02253 0.464264 
Writing MPS done!
