LHHHLHLLLHHLHLHHHHLHHHLLLLHLLHLHLHHLHLHHLLLHHHLLLHLHLLHLHHHHLLHL
W_LIST: 1.37599 0.752033 -0.664413 -0.849802 -1.3988 -0.44294 -0.0356549 1.59209 0.784629 -1.10564 -1.02696 0.999903 -0.632155 -0.845079 0.432131 -1.09302 1.61987 0.882133 -0.356357 -0.647387 -0.357287 -1.65104 1.43665 1.06212 0.320846 1.08047 -1.24774 -0.472545 -0.0961916 0.136978 0.283635 -0.857411 -1.48775 0.856775 0.889913 -1.4619 0.513041 -1.11559 1.08962 1.51373 0.817786 1.32192 -1.27979 -0.554424 -1.07816 -0.0250744 0.664684 0.346142 -0.962862 -0.995861 0.87444 0.401152 1.62244 1.31527 0.919728 -0.324077 -0.341752 0.446147 -0.305454 1.13724 -1.32845 -0.420173 0.812493 -1.22675 
st	op	ed	phy
SITE: 58	60	61	0
SITE: 59	62	63	0
SITE: 58	59	63	0
SITE: 15	16	18	0
SITE: 14	17	18	0
SITE: 14	15	19	1
SITE: 13	14	19	0
SITE: 11	12	18	1
SITE: 11	13	19	0
SITE: 10	18	19	1
SITE: 10	19	20	1
SITE: 11	21	22	1
SITE: 10	20	22	1
SITE: 8	9	11	1
SITE: 8	10	22	1
SITE: 7	11	22	0
SITE: 6	7	22	1
SITE: 5	6	22	0
SITE: 4	5	22	0
SITE: 3	4	22	0
SITE: 2	3	22	0
SITE: 1	2	22	1
SITE: 0	0	22	1
SITE: 1	22	23	1
SITE: 1	23	24	1
SITE: 8	25	26	1
SITE: 1	24	26	0
SITE: 1	26	27	1
SITE: 1	27	28	0
SITE: 1	28	29	1
SITE: 1	29	30	1
SITE: 1	8	31	0
SITE: 30	32	33	0
SITE: 1	31	33	1
SITE: 1	33	34	0
SITE: 1	34	35	0
SITE: 1	35	36	0
SITE: 30	36	38	0
SITE: 1	37	38	0
SITE: 1	38	39	0
SITE: 1	39	40	0
SITE: 30	41	42	1
SITE: 1	40	42	1
SITE: 1	42	43	0
SITE: 1	30	44	0
SITE: 1	44	45	1
SITE: 1	45	46	1
SITE: 1	46	47	1
SITE: 1	47	48	0
SITE: 43	48	50	0
SITE: 1	49	50	1
SITE: 1	1	51	0
SITE: 43	51	52	0
SITE: 43	52	53	1
SITE: 57	61	63	1
SITE: 56	57	63	0
SITE: 55	56	63	1
SITE: 54	55	63	0
SITE: 50	54	58	0
SITE: 50	53	63	1
SITE: 43	63	63	0
SITE: 43	58	58	1
SITE: 43	43	50	1
SITE: 50	50	50	0
MPS Info: 1.63562 1.72153 0.607415 
Writing MPS done!
