LHHLLHHHHHLHHLLLHHHLHLHHLLHLLLLLHHHHHHHLLHLLLLLHLHLLHLHLLLLLLHLL
W_LIST: -4.3861 4.78467 2.91282 3.47964 3.6189 -1.45033 -0.0833946 -3.22324 2.42905 4.40298 -0.223006 3.18475 0.695895 -0.506583 -2.14252 -2.90673 0.547348 -2.98277 -3.85954 4.81753 4.30883 -4.92467 -0.337877 0.497311 -2.70923 2.20334 -4.16244 4.31706 -3.69175 -0.982067 4.04204 3.51134 0.952045 2.54256 -4.67573 -4.85496 4.79658 2.20669 2.44978 -1.50411 -3.29142 4.25745 -1.39288 4.01715 -1.78871 4.3786 -0.942941 -4.67886 1.4628 -3.31849 3.76463 0.399723 3.82275 0.913858 0.626068 -1.61413 -0.789553 -1.27354 -1.71234 -1.43938 3.49835 4.14478 4.75051 -0.977306 
st	op	ed	phy
SITE: 24	26	27	1
SITE: 24	27	28	1
SITE: 25	28	30	0
SITE: 24	25	30	1
SITE: 23	24	30	0
SITE: 21	23	29	0
SITE: 21	29	30	0
SITE: 20	21	30	0
SITE: 47	49	50	1
SITE: 46	47	50	1
SITE: 45	46	50	0
SITE: 44	45	50	1
SITE: 43	44	50	0
SITE: 42	43	50	1
SITE: 40	41	48	0
SITE: 40	42	50	0
SITE: 40	50	51	1
SITE: 40	48	52	1
SITE: 40	52	53	0
SITE: 38	40	51	0
SITE: 38	39	53	0
SITE: 22	30	32	1
SITE: 20	31	32	1
SITE: 22	33	34	0
SITE: 20	32	34	0
SITE: 22	35	36	1
SITE: 20	34	36	1
SITE: 20	36	37	0
SITE: 22	38	51	0
SITE: 20	37	51	0
SITE: 20	22	53	0
SITE: 18	19	51	1
SITE: 18	20	53	0
SITE: 17	18	53	1
SITE: 16	17	53	1
SITE: 15	51	53	1
SITE: 16	53	55	1
SITE: 15	16	55	0
SITE: 7	9	10	0
SITE: 6	7	10	1
SITE: 6	8	11	0
SITE: 4	5	10	1
SITE: 4	6	11	1
SITE: 4	11	12	0
SITE: 4	12	13	0
SITE: 4	10	14	1
SITE: 13	15	54	0
SITE: 13	14	55	0
SITE: 4	13	55	1
SITE: 4	55	56	0
SITE: 4	54	57	0
SITE: 4	57	58	0
SITE: 3	4	58	1
SITE: 1	3	56	1
SITE: 1	2	58	0
SITE: 0	1	58	0
SITE: 0	0	59	0
SITE: 56	58	60	0
SITE: 56	60	61	1
SITE: 59	62	63	1
SITE: 56	61	63	0
SITE: 56	63	63	0
SITE: 56	59	59	0
WARN: Unitary gate is identity
SITE: 56	56	56	1
MPS Info: 0.322315 0.486822 0.208392 
Writing MPS done!
