HLHLHHLHLHHLLHHLHLLLHLLHHLLLHLLLHHHHHHLHLHLLLHLLLLLHLLLLLLLLHLLL
W_LIST: 0.923542 0.53 -1.02347 -3.2422 -2.43689 4.23798 -2.37313 -1.88731 -3.63963 4.36958 -2.75733 0.306788 3.23856 -1.00552 1.68385 1.4413 3.44198 -3.2666 -3.52223 1.08438 3.91511 -4.11191 0.25153 4.60402 -2.54445 -2.24976 -2.30207 1.70419 -2.5507 -2.34902 3.26025 3.47692 0.610462 -2.85265 3.78003 -2.77158 -3.73806 -0.871322 3.97249 3.45465 3.67017 1.44317 -3.90434 -0.850506 3.18357 -1.82616 -2.39749 2.3684 -1.57669 -3.82695 -3.49105 -2.35908 0.73452 1.97608 -0.163623 -2.97255 1.32701 -1.48326 -2.20617 0.748743 3.09703 0.321897 -1.40737 4.10096 
st	op	ed	phy
SITE: 20	21	23	0
SITE: 20	23	24	0
SITE: 18	20	22	0
SITE: 18	19	24	1
SITE: 41	42	44	0
SITE: 41	44	45	1
SITE: 16	18	22	0
SITE: 16	17	24	0
SITE: 15	16	24	0
SITE: 8	9	11	0
SITE: 10	12	13	1
SITE: 8	10	13	1
SITE: 8	13	14	1
SITE: 11	15	22	1
SITE: 11	22	24	1
SITE: 8	11	24	0
SITE: 32	34	35	0
SITE: 31	33	35	1
SITE: 32	36	37	1
SITE: 31	35	37	1
SITE: 31	37	38	1
SITE: 60	62	63	0
SITE: 40	41	45	0
SITE: 46	47	49	1
SITE: 43	46	48	0
SITE: 40	45	48	1
SITE: 40	48	49	0
SITE: 53	55	56	0
SITE: 53	56	57	1
SITE: 58	60	61	0
SITE: 58	61	63	1
SITE: 7	8	24	0
SITE: 5	6	14	0
SITE: 5	7	24	1
SITE: 4	5	24	0
SITE: 2	3	14	0
SITE: 2	4	24	1
SITE: 1	2	24	1
SITE: 29	31	32	1
SITE: 29	30	38	1
SITE: 39	40	49	1
SITE: 32	38	43	1
SITE: 32	39	49	0
SITE: 29	43	49	0
SITE: 54	58	59	0
SITE: 54	59	63	1
SITE: 53	57	63	0
SITE: 52	53	63	1
SITE: 51	52	63	1
SITE: 50	51	63	1
SITE: 32	50	54	0
SITE: 32	49	63	0
SITE: 29	32	63	1
SITE: 0	0	24	0
SITE: 27	29	54	0
SITE: 27	28	63	1
SITE: 26	27	63	1
SITE: 25	26	63	0
SITE: 14	24	54	1
SITE: 1	25	54	0
SITE: 1	63	63	1
SITE: 1	14	54	0
WARN: Unitary gate is identity
SITE: 1	1	1	1
WARN: Unitary gate is identity
SITE: 54	54	54	0
MPS Info: -17.6889 0.652043 7.3792e-05 
Writing MPS done!
