LHHLLHLLLLHLLLLLHLLLHHHLLHHLLLHHHHLLHLLLHHLLLLLLLHHHHLLHHHLLLHLH
W_LIST: 3.61643 -1.67418 -2.18208 3.14107 -2.30082 3.07443 1.3915 -0.255275 -4.60994 1.87333 0.00109922 1.97016 -3.04018 -0.672155 -4.11157 1.17732 0.444573 1.69756 1.09098 0.882856 3.97806 3.74442 4.55751 3.18119 -0.202295 -4.22022 2.5371 1.98876 -3.10695 -0.287937 -3.41292 2.1842 4.27849 0.411294 -3.6361 -1.53736 0.227236 4.45365 -0.578322 -4.24065 -0.540942 -0.473849 2.38452 3.18605 0.151913 0.700724 0.881678 -1.83729 1.42582 -4.53313 4.37875 -2.98182 3.6672 3.60335 0.303326 -4.38493 1.20271 1.03194 -2.98975 0.60734 2.03418 1.37005 2.23941 -0.196421 
st	op	ed	phy
SITE: 48	49	51	1
SITE: 48	50	52	0
SITE: 47	51	52	1
SITE: 23	25	26	1
SITE: 30	32	33	0
SITE: 30	31	34	0
SITE: 29	30	34	1
SITE: 27	28	33	0
SITE: 27	33	34	0
SITE: 24	27	29	1
SITE: 24	26	34	0
SITE: 23	24	34	0
SITE: 53	55	56	1
SITE: 11	12	14	0
SITE: 11	14	15	0
SITE: 37	39	40	0
SITE: 36	37	40	1
SITE: 10	11	15	1
SITE: 8	9	13	1
SITE: 8	10	15	1
SITE: 7	8	15	0
SITE: 23	34	35	0
SITE: 2	3	5	1
SITE: 0	0	4	1
SITE: 1	2	5	1
SITE: 29	35	38	0
SITE: 23	36	38	0
SITE: 23	38	40	0
SITE: 29	41	42	1
SITE: 23	29	42	0
SITE: 40	43	44	1
SITE: 23	42	44	1
SITE: 5	6	13	1
SITE: 5	13	15	1
SITE: 4	5	15	0
SITE: 1	4	15	0
SITE: 1	1	16	1
SITE: 23	44	45	0
SITE: 22	23	45	1
SITE: 21	22	45	0
SITE: 48	53	54	1
SITE: 47	52	54	0
SITE: 47	54	56	0
SITE: 48	57	58	0
SITE: 47	56	58	0
SITE: 47	58	59	0
SITE: 47	48	60	1
SITE: 46	47	60	0
SITE: 40	46	59	1
SITE: 40	59	60	1
SITE: 21	45	60	1
SITE: 19	20	40	0
SITE: 19	21	60	0
SITE: 19	60	61	1
SITE: 19	61	62	0
SITE: 19	62	63	1
SITE: 18	19	63	1
SITE: 17	40	63	1
SITE: 16	17	63	1
SITE: 15	16	63	1
SITE: 7	15	63	1
SITE: 7	63	63	1
SITE: 7	7	18	0
WARN: Unitary gate is identity
SITE: 18	18	18	0
MPS Info: -10.0655 0.658491 0.000389354 
Writing MPS done!
